node1,node2
Baekgok Stream 2,Baekgok Stream 1
Miho River 3,Miho River 2
Miho River 2,Miho River 4
Miho River 2,Chiljang Stream
Miho River 2,Miho River 1
Miho River 1,Miho River 3
Miho River 1,Miho River 4
Bocheong Stream 4,Bocheong Stream 3
Bocheong Stream 3,Samga Stream
Bocheong Stream 3,Bocheong Stream 2
Bocheong Stream 3,Hanggeon Stream
Bocheong Stream 2,Bocheong Stream 1
Cheongji Stream,Dodang Stream
Dundang Stream,Cheongji Stream
Taean Stream,Janggeom Stream
Waryong Stream,Dodang Stream
Samyong Stream,Cheonan Stream 1
Cheonan Stream 1,Wonseong Stream
Wonseong Stream,Gokgyo Stream 1
Gokgyo Stream 1,Cheonan Stream 3
Cheonan Stream 3,Cheonan Stream 2
Cheonan Stream 3,Oncheon Stream
Oncheon Stream,Gokgyo Stream 2
Muhan Stream 1,Muhan Stream 2
Sapgyo Stream 1,Sapgyo Stream 2
Sapgyo Stream 2,Sapgyo Stream 3
Sapgyo Stream 3,Muhan Stream 2
Namwon Stream,Sapgyo Stream 3
Buri,Bonghwang Stream
Buri,Jewon 1
Buri,Jewon 2
Bonghwang Stream,Jewon 1
Jewon 1,Jewon 2
Jewon 2,Yeongdong Stream 1
